int,string
1,Amélie Poulain
2,Walter Sobchak
3,Austin Powers
4,Mad Max
5,Wonder Woman
6,Ferris Bueller
7,Annie Wilkes
8,Michael Myers
9,Katniss Everdeen
10,Buzz Lightyear
11,Willy Wonka
12,Mrs. Doubtfire
13,Frodo Baggins
14,Patrick Bateman
15,The Dude
16,Lieutenant Dan
17,Jules Winnfield
18,Shrek
19,Regina George
20,Maximus Decimus Meridius
21,Julie Andrews
22,Ron Burgundy
23,Morpheus
24,Sarah Connor
25,Tyler Durden
26,Sherlock Holmes
27,Jason Voorhees
28,Austin Powers
29,Hellboy
30,Hermione Granger
31,Han Solo
32,Wonder Woman
33,Batman
34,Michael Myers
35,Spider-Man
36,Wonder Woman
37,Mrs. Doubtfire
38,Jordan Belfort
39,Sarah Connor
40,Amélie Poulain
