string,string,int,int,int
Clothing,BBD-V6,0,1,6
Hand,YVH-Z1,1,2,5
Furniture,ZKK-P8,0,3,8
Misc,TBJ-d0,0,4,10
Clothing,IGO-O4,1,5,4
Furniture,GLJ-C0,1,6,7
Furniture,BGP-Y2,0,7,5
Furniture,BVI-E3,1,8,4
Hand,RYW-c2,1,9,2
Hand,GJG-f8,1,10,8
Furniture,FJB-K6,1,11,8
Misc,FAD-03,0,12,2
Furniture,LZV-r6,1,13,1
Hand,DVC-A6,1,14,8
Hand,HAB-A9,1,15,10
Misc,VLC-C7,1,16,5
Furniture,VKU-04,1,17,2
Furniture,DZU-e4,1,18,6
Misc,ORT-S7,1,19,8
Misc,BQQ-42,1,20,6
Misc,UYW-B4,1,21,8
Clothing,OGL-74,0,22,4
Hand,TBD-83,1,23,7
Hand,VXF-o0,1,24,1
Misc,CFZ-75,1,25,7
Furniture,CXC-16,0,26,5
Misc,VKN-a0,1,27,7
Misc,NWM-r8,0,28,8
Hand,JBD-J4,0,29,3
Hand,MPS-Z1,0,30,7
Clothing,ZHL-G2,1,31,7
Furniture,DCW-q7,1,32,7
Furniture,GXJ-f1,1,33,10
Furniture,BIV-H2,0,34,8
Misc,VFO-g4,0,35,3
Clothing,KZH-G8,0,36,3
Furniture,OLC-J7,1,37,3
Furniture,VGK-Y4,0,38,10
Misc,FAH-x5,1,39,9
Hand,IVC-J7,1,40,8
Clothing,IHC-o1,0,41,1
Hand,SBN-i4,0,42,9
Furniture,QXI-F4,0,43,3
Hand,LQU-T7,0,44,8
Furniture,RHH-R0,0,45,5
Furniture,ZGO-I9,0,46,7
Clothing,IMV-G6,1,47,8
Furniture,HAN-J5,1,48,6
Misc,IGF-f7,1,49,2
Clothing,XAO-h2,0,50,2
Clothing,ZOA-u4,0,51,9
Clothing,TAB-i4,1,52,8
Hand,OPS-O7,1,53,7
Hand,DNC-T3,0,54,8
Misc,DQC-w9,1,55,1
Misc,YXL-68,0,56,4
Furniture,RMR-G9,0,57,4
Misc,KOH-o6,0,58,1
Hand,HTF-n1,1,59,5
Hand,MXE-J4,1,60,1
Clothing,NJX-d6,1,61,4
Misc,KGK-e2,1,62,3
Misc,VVJ-48,0,63,8
Clothing,ZGG-56,0,64,3
Misc,QFM-C9,0,65,1
Furniture,OXE-L2,1,66,6
Clothing,JAD-W4,0,67,6
Misc,RFX-70,0,68,9
Hand,EGL-T4,0,69,4
Clothing,GGZ-r9,0,70,8
Hand,VJB-R9,0,71,5
Misc,DTY-Q3,0,72,9
Hand,IMB-N8,0,73,9
Misc,FKE-11,0,74,7
Clothing,LXN-D8,0,75,3
Clothing,ZSY-66,0,76,8
Hand,LOI-X0,1,77,1
Clothing,TEF-N8,1,78,5
Furniture,CDN-l0,1,79,7
Furniture,IBD-z2,1,80,9
Misc,KAT-B2,0,81,8
Misc,LDF-e9,0,82,3
Misc,GHX-70,1,83,10
Hand,QQM-53,1,84,9
Clothing,UDC-d2,1,85,3
Furniture,IGB-k9,1,86,6
Misc,RXE-u2,0,87,10
Misc,XZY-g3,1,88,7
Clothing,QUT-y5,1,89,9
Clothing,ZRL-t7,0,90,10
Hand,DWS-77,1,91,5
Clothing,JHH-i3,0,92,5
Hand,QQD-P5,0,93,3
Clothing,YZB-q2,1,94,4
Misc,ZUV-z8,1,95,3
Misc,RFH-f5,0,96,8
Hand,FIZ-P6,1,97,5
Hand,TBH-r9,0,98,6
Clothing,MMA-C2,1,99,1
Misc,VQN-w4,1,100,8
