int,int
36,79
17,78
39,84
20,81
9,62
11,31
26,30
40,65
4,90
32,54
4,47
31,20
2,88
32,68
40,16
20,90
29,70
28,79
5,92
11,77
38,96
35,8
6,96
19,64
40,41
18,86
40,81
26,76
4,88
30,64
11,69
7,52
24,18
28,83
32,42
33,32
23,49
34,94
29,33
29,64
40,44
14,51
37,96
8,67
29,100
32,62
22,9
10,40
4,47
30,92
33,82
19,20
23,80
22,24
33,34
17,94
19,85
14,90
33,73
27,53
19,12
29,70
28,26
12,35
38,35
40,99
22,30
9,89
18,44
29,55
36,38
23,96
27,71
3,78
1,61
6,30
37,60
4,100
9,52
33,30
39,48
32,16
39,53
19,87
32,83
11,100
19,80
22,47
33,13
3,35
2,55
28,61
6,34
16,96
1,37
10,88
37,16
8,72
26,96
12,25
29,87
30,76
24,6
10,28
13,60
31,71
3,24
8,71
24,2
13,40
27,68
35,27
28,100
21,68
34,70
37,53
10,42
25,64
29,44
14,49
33,73
21,9
12,71
20,49
20,28
10,19
39,45
20,45
8,30
7,48
1,1
11,19
8,68
13,58
6,52
33,44
9,86
37,72
9,70
19,33
20,41
12,100
9,9
32,99
26,46
33,47
1,54
31,83
35,38
22,45
6,86
24,79
11,100
34,71
6,50
11,37
6,72
20,6
32,4
36,7
8,100
14,90
15,87
11,9
29,86
25,82
8,96
21,21
39,65
16,58
34,76
40,37
14,37
27,7
27,41
23,74
29,21
24,89
13,48
40,21
10,37
31,59
5,23
39,83
1,39
12,30
11,21
14,10
17,67
1,45
39,25
36,85
11,66
30,14
21,37
27,31
29,99
21,96
36,1
40,22
25,45
2,12
18,33
17,39
14,63
10,77
23,84
20,19
4,75
20,33
38,79
9,42
20,83
37,67
19,76
3,78
8,35
36,71
24,15
8,61
15,40
26,38
16,7
29,96
30,59
25,2
26,48
14,27
38,20
24,100
32,29
35,83
11,50
23,5
30,56
24,16
20,27
3,44
17,43
29,95
23,2
38,42
3,94
1,57
29,33
36,44
28,59
35,94
5,99
1,72
3,94
5,32
10,48
37,77
37,25
39,63
5,93
39,79
17,49
15,37
40,8
8,17
3,38
32,81
2,37
37,50
1,85
8,85
5,99
14,35
21,53
1,72
37,37
6,13
36,20
32,29
11,26
27,22
32,59
33,7
33,27
20,9
34,28
20,77
31,78
12,56
8,48
30,84
40,22
10,94
11,80
22,67
38,26
11,45
23,26
30,32
39,83
37,89
15,74
25,84
34,33
39,59
38,91
30,16
1,32
17,86
38,46
19,7
24,11
40,36
31,40
19,38
36,24
4,17
9,53
5,75
26,95
17,5
3,79
27,22
35,34
28,73
11,1
20,78
4,41
20,42
28,38
1,58
28,52
30,73
26,20
7,94
18,78
14,48
9,35
21,34
28,48
5,98
12,28
28,54
35,84
16,88
18,74
39,95
24,39
13,19
17,37
22,47
24,44
2,35
23,87
20,93
25,21
17,100
24,93
18,37
16,64
25,9
31,85
38,66
39,65
36,58
40,94
23,66
21,42
27,65
4,49
9,75
17,55
14,25
36,34
12,84
8,53
33,99
25,53
1,30
17,48
20,18
3,74
39,42
32,97
27,88
16,19
29,4
4,22
4,73
7,12
19,29
18,18
36,77
36,44
29,89
39,34
7,19
2,29
35,90
22,49
39,11
12,88
38,100
