int,int
8,52
4,73
23,52
14,76
20,41
4,64
35,71
33,58
24,75
31,51
1,78
14,77
29,58
30,42
11,72
25,45
18,47
4,63
17,74
18,65
17,53
11,47
18,66
1,80
30,42
4,75
15,58
15,80
6,47
22,67
17,59
32,55
12,47
14,60
20,77
17,45
29,75
16,73
19,43
19,63
28,65
34,60
21,49
13,72
16,75
20,73
35,67
2,66
21,54
3,70
8,60
40,71
36,60
4,65
7,49
40,76
6,66
5,58
34,51
36,57
33,75
26,68
19,77
8,64
9,62
38,71
37,68
23,51
6,74
18,62
1,51
10,58
23,49
25,50
5,42
37,62
34,77
32,65
30,53
1,54
11,64
9,68
31,80
17,50
18,55
22,72
22,44
2,60
10,43
10,73
35,62
14,64
29,72
7,69
29,53
19,66
36,50
12,59
35,67
13,77
37,45
37,50
28,78
36,75
40,73
15,44
5,72
12,67
18,49
38,75
11,75
25,66
6,50
36,58
16,45
33,69
19,78
6,71
22,77
12,54
